Code Domaine;Domaine;Code zone (M49);Zone;Code Élément;Élément;Code Produit (CPC);Produit;Code année;Année;Code Mois;Mois;Unité;Valeur;Symbole;Description du Symbole
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;1995;1995;7021;Valeur annuel;USD;1147.4;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;1996;1996;7021;Valeur annuel;USD;989.1;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;1997;1997;7021;Valeur annuel;USD;1475.7;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;1998;1998;7021;Valeur annuel;USD;1573.7;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;1999;1999;7021;Valeur annuel;USD;1450.2;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2000;2000;7021;Valeur annuel;USD;1324.3;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2001;2001;7021;Valeur annuel;USD;1090.4;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2002;2002;7021;Valeur annuel;USD;1331.8;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2003;2003;7021;Valeur annuel;USD;1409.6;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2004;2004;7021;Valeur annuel;USD;1249.3;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2005;2005;7021;Valeur annuel;USD;1305.6;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2006;2006;7021;Valeur annuel;USD;1520.4;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2007;2007;7021;Valeur annuel;USD;1719.1;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2008;2008;7021;Valeur annuel;USD;1737.6;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2009;2009;7021;Valeur annuel;USD;1622.1;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2010;2010;7021;Valeur annuel;USD;1555;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2011;2011;7021;Valeur annuel;USD;1895.3;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2012;2012;7021;Valeur annuel;USD;1712.6;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2013;2013;7021;Valeur annuel;USD;2145.8;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2014;2014;7021;Valeur annuel;USD;2250;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2015;2015;7021;Valeur annuel;USD;2091.6;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2016;2016;7021;Valeur annuel;USD;2298;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2017;2017;7021;Valeur annuel;USD;2451.3;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2018;2018;7021;Valeur annuel;USD;2725.1;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2019;2019;7021;Valeur annuel;USD;2483.4;A;Chiffre officiel
PP;Prix à la Production;250;France;5532;Prix à la Production (USD/tonne);1330;Raisins;2020;2020;7021;Valeur annuel;USD;2859.8;A;Chiffre officiel
