Code Domaine;Domaine;Code zone (M49);Zone;Code Élément;Élément;Code Produit (CPC);Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1991;1991;hg/ha;60605;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1992;1992;hg/ha;88117;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1993;1993;hg/ha;73803;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1994;1994;hg/ha;77274;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1995;1995;hg/ha;80609;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1996;1996;hg/ha;87025;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1997;1997;hg/ha;81887;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1998;1998;hg/ha;80205;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1999;1999;hg/ha;93133;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2000;2000;hg/ha;90160;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2001;2001;hg/ha;83885;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2002;2002;hg/ha;79546;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2003;2003;hg/ha;74096;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2004;2004;hg/ha;88793;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2005;2005;hg/ha;79434;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2006;2006;hg/ha;76561;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2007;2007;hg/ha;72616;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2008;2008;hg/ha;73882;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2009;2009;hg/ha;76640;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2010;2010;hg/ha;76388;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2011;2011;hg/ha;86905;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2012;2012;hg/ha;70775;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2013;2013;hg/ha;72853;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2014;2014;hg/ha;81930;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2015;2015;hg/ha;83212;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2016;2016;hg/ha;80221;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2017;2017;hg/ha;66773;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2018;2018;hg/ha;83502;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2019;2019;hg/ha;72665;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;2020;2020;hg/ha;77520;E;Valeur estimée
