Code Domaine;Domaine;Code zone (M49);Zone;Code Élément;Élément;Code Produit (CPC);Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1961;1961;hg/ha;52828;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1962;1962;hg/ha;81365;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1963;1963;hg/ha;62322;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1964;1964;hg/ha;68437;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1965;1965;hg/ha;75365;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1966;1966;hg/ha;69465;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1967;1967;hg/ha;69327;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1968;1968;hg/ha;75037;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1969;1969;hg/ha;62931;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1970;1970;hg/ha;93812;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1971;1971;hg/ha;78576;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1972;1972;hg/ha;74039;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1973;1973;hg/ha;102766;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1974;1974;hg/ha;94568;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1975;1975;hg/ha;83745;T;Chiffre non officiel
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1976;1976;hg/ha;90509;T;Chiffre non officiel
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1977;1977;hg/ha;64565;T;Chiffre non officiel
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1978;1978;hg/ha;74035;T;Chiffre non officiel
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1979;1979;hg/ha;107033;T;Chiffre non officiel
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1980;1980;hg/ha;92665;T;Chiffre non officiel
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1981;1981;hg/ha;79501;T;Chiffre non officiel
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1982;1982;hg/ha;107931;T;Chiffre non officiel
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1983;1983;hg/ha;94598;T;Chiffre non officiel
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1984;1984;hg/ha;90428;T;Chiffre non officiel
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1985;1985;hg/ha;87907;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1986;1986;hg/ha;94514;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1987;1987;hg/ha;92825;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1988;1988;hg/ha;76378;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1989;1989;hg/ha;83008;E;Valeur estimée
QCL;Cultures et produits animaux;250;France;5419;Rendement;1330;Raisins;1990;1990;hg/ha;90389;E;Valeur estimée
