Code Domaine;Domaine;Code zone (M49);Zone;Code Élément;Élément;Code Produit (CPC);Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2000;2000;1000 US$;10279884;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2001;2001;1000 US$;7878450;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2002;2002;1000 US$;9127656;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2003;2003;1000 US$;8890465;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2004;2004;1000 US$;9450962;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2005;2005;1000 US$;8865026;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2006;2006;1000 US$;10303476;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2007;2007;1000 US$;10347570;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2008;2008;1000 US$;10458750;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2009;2009;1000 US$;9897114;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2010;2010;1000 US$;9164723;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2011;2011;1000 US$;12586937;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2012;2012;1000 US$;9221761;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2013;2013;1000 US$;11889402;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2014;2014;1000 US$;13960839;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2015;2015;1000 US$;13090022;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2016;2016;1000 US$;13851262;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2017;2017;1000 US$;12283649;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2018;2018;1000 US$;17080427;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2019;2019;1000 US$;13633044;E;Valeur estimée
QV;Valeur de la Production Agricole;250;France;57;Produit Brut (mille US$);1330;Raisins;2020;2020;1000 US$;16827565;E;Valeur estimée
