Code Domaine;Domaine;Code zone;Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;2005;2005;ha;854824;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;2006;2006;ha;885165;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;2007;2007;ha;828885;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;2008;2008;ha;814697;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;2009;2009;ha;796128;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;2010;2010;ha;771530;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;2011;2011;ha;764164;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;2012;2012;ha;760804;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;2013;2013;ha;760546;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;2014;2014;ha;757339;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;2015;2015;ha;752101;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;2016;2016;ha;751366;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;2017;2017;ha;750463;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;2018;2018;ha;750620;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;2019;2019;ha;755470;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5312;Superficie récoltée;560;Raisins;2020;2020;ha;759060;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1961;1961;tonnes;7491000;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1962;1962;tonnes;11505000;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1963;1963;tonnes;8775000;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1964;1964;tonnes;9588000;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1965;1965;tonnes;10521000;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1966;1966;tonnes;9612413;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1967;1967;tonnes;9565882;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1968;1968;tonnes;10227603;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1969;1969;tonnes;7919224;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1970;1970;tonnes;11617697;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1971;1971;tonnes;9580758;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1972;1972;tonnes;8997215;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1973;1973;tonnes;12543626;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1974;1974;tonnes;11524000;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1975;1975;tonnes;10000000;T;Chiffre non officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1976;1976;tonnes;11100000;T;Chiffre non officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1977;1977;tonnes;7773000;T;Chiffre non officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1978;1978;tonnes;8711000;T;Chiffre non officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1979;1979;tonnes;12480000;T;Chiffre non officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1980;1980;tonnes;10321000;T;Chiffre non officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1981;1981;tonnes;8610000;T;Chiffre non officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1982;1982;tonnes;11540000;T;Chiffre non officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1983;1983;tonnes;9930000;T;Chiffre non officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1984;1984;tonnes;9334000;T;Chiffre non officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1985;1985;tonnes;8970000;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1986;1986;tonnes;9474500;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1987;1987;tonnes;9186000;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1988;1988;tonnes;7218542;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1989;1989;tonnes;7672400;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1990;1990;tonnes;8205280;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1991;1991;tonnes;5465540;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1992;1992;tonnes;7994900;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1993;1993;tonnes;6657000;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1994;1994;tonnes;6945400;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1995;1995;tonnes;7212900;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1996;1996;tonnes;7716400;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1997;1997;tonnes;7190900;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1998;1998;tonnes;6919069;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;1999;1999;tonnes;8040710;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2000;2000;tonnes;7762582;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2001;2001;tonnes;7225357;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2002;2002;tonnes;6853482;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2003;2003;tonnes;6307112;A;Chiffre officiel
QCL;Cultures et produits animaux;68;France;5510;Production;560;Raisins;2004;2004;tonnes;7564902;A;Chiffre officiel
